Eyes Closed Status,Open Eyes Ratio
Alert Eyes,1.0
Alert Eyes,1.0
Alert Eyes,1.0
Alert Eyes,0.9333333333333333
Alert Eyes,0.8823529411764706
Alert Eyes,0.9
Alert Eyes,0.92
Alert Eyes,0.9285714285714286
Alert Eyes,0.9354838709677419
Alert Eyes,0.9411764705882353
Alert Eyes,0.9459459459459459
Alert Eyes,0.9487179487179487
Alert Eyes,0.9512195121951219
Alert Eyes,0.9534883720930233
Alert Eyes,0.9347826086956522
Alert Eyes,0.94
Alert Eyes,0.9444444444444444
Alert Eyes,0.9482758620689655
Alert Eyes,0.9516129032258065
Alert Eyes,0.9516129032258065
Alert Eyes,0.9516129032258065
Alert Eyes,0.9516129032258065
Alert Eyes,0.9516129032258065
Alert Eyes,0.9516129032258065
Alert Eyes,0.9516129032258065
Alert Eyes,0.9516129032258065
Alert Eyes,0.9516129032258065
Alert Eyes,0.9538461538461539
Alert Eyes,0.9538461538461539
Alert Eyes,0.9565217391304348
Tired Eyes,0.9436619718309859
Tired Eyes,0.9436619718309859
Tired Eyes,0.9436619718309859
Tired Eyes,0.9436619718309859
Tired Eyes,0.9436619718309859
Tired Eyes,0.9436619718309859
Tired Eyes,0.9436619718309859
Tired Eyes,0.9436619718309859
Tired Eyes,0.9436619718309859
Alert Eyes,0.9459459459459459
Alert Eyes,0.9466666666666667
Alert Eyes,0.9466666666666667
Alert Eyes,0.948051948051948
Alert Eyes,0.95
Alert Eyes,0.9523809523809523
Alert Eyes,0.9540229885057471
Alert Eyes,0.9550561797752809
Alert Eyes,0.946236559139785
Alert Eyes,0.9381443298969072
Alert Eyes,0.9306930693069307
Alert Eyes,0.9333333333333333
Alert Eyes,0.9369369369369369
Alert Eyes,0.9385964912280702
Alert Eyes,0.9316239316239316
Alert Eyes,0.9349593495934959
Alert Eyes,0.9375
Alert Eyes,0.9328358208955224
Alert Eyes,0.9347826086956522
Alert Eyes,0.9375
Alert Eyes,0.9391891891891891
Alert Eyes,0.9411764705882353
Alert Eyes,0.9426751592356688
Alert Eyes,0.94375
Alert Eyes,0.9454545454545454
Alert Eyes,0.9467455621301775
Alert Eyes,0.9476744186046512
Alert Eyes,0.9485714285714286
Tired Eyes,0.9447513812154696
Alert Eyes,0.946236559139785
Alert Eyes,0.9470899470899471
Alert Eyes,0.9484536082474226
Alert Eyes,0.9494949494949495
Alert Eyes,0.9504950495049505
Alert Eyes,0.9514563106796117
Alert Eyes,0.9473684210526315
Alert Eyes,0.9436619718309859
Alert Eyes,0.9406392694063926
Alert Eyes,0.9417040358744395
Alert Eyes,0.9424778761061947
Alert Eyes,0.9434782608695652
Alert Eyes,0.9444444444444444
Alert Eyes,0.9451476793248945
Alert Eyes,0.9416666666666667
Alert Eyes,0.9426229508196722
Alert Eyes,0.943089430894309
Alert Eyes,0.9437751004016064
Alert Eyes,0.9446640316205533
Alert Eyes,0.9453125
Alert Eyes,0.9457364341085271
Alert Eyes,0.946360153256705
Alert Eyes,0.9467680608365019
Alert Eyes,0.9471698113207547
Alert Eyes,0.9479553903345725
Alert Eyes,0.9487179487179487
Alert Eyes,0.9494584837545126
Alert Eyes,0.9498207885304659
Alert Eyes,0.95
Alert Eyes,0.9501779359430605
Alert Eyes,0.950354609929078
Alert Eyes,0.951048951048951
Alert Eyes,0.9515570934256056
Alert Eyes,0.9522184300341296
Alert Eyes,0.9527027027027027
Alert Eyes,0.9533333333333334
Alert Eyes,0.9539473684210527
