type eye;ratio;type eye2;ratio2
Eyes Closed Status;Open Eyes Ratio;Tired Eyes;0.8666666666666667
Alert Eyes;0.25;Tired Eyes;0.8235294117647058
Alert Eyes;0.5;Tired Eyes;0.8913043478260869
Alert Eyes;0.75;Tired Eyes;0.9295774647887324
Alert Eyes;1.0;Tired Eyes;0.9247311827956989
Alert Eyes;0.7142857142857143;Tired Eyes;0.9278350515463918
Alert Eyes;0.8571428571428571;Tired Eyes;0.9108910891089109
Alert Eyes;1.0;Tired Eyes;0.9145299145299145
Alert Eyes;0.7272727272727273;Tired Eyes;0.9104477611940298
Alert Eyes;0.8181818181818182;Tired Eyes;0.9447513812154696
Alert Eyes;0.9090909090909091;Tired Eyes;0.9425837320574163
Alert Eyes;1.0;Tired Eyes;0.9295774647887324
Alert Eyes;0.8;Tired Eyes;0.9178082191780822
Alert Eyes;0.8666666666666667;Tired Eyes;0.9333333333333333
Tired Eyes;0.8666666666666667;Tired Eyes;0.9440993788819876
Alert Eyes;0.9333333333333333;Tired Eyes;0.9455587392550143
Tired Eyes;0.8235294117647058;Tired Eyes;0.9436619718309859
Alert Eyes;0.8823529411764706;Tired Eyes;0.9371584699453552
Alert Eyes;0.8;Tired Eyes;0.935656836461126
Alert Eyes;0.85;Tired Eyes;0.9487179487179487
Alert Eyes;0.9;Tired Eyes;0.9398496240601504
Alert Eyes;0.76;Tired Eyes;0.937799043062201
Alert Eyes;0.8;Tired Eyes;0.9577464788732394
Alert Eyes;0.84;Tired Eyes;0.9543147208121827
Alert Eyes;0.88;Tired Eyes;0.959349593495935
Alert Eyes;0.92;Tired Eyes;0.9584
Alert Eyes;0.8571428571428571;Tired Eyes;0.9507936507936507
Alert Eyes;0.8928571428571429;Tired Eyes;0.95141065830721
Alert Eyes;0.9285714285714286;Tired Eyes;0.9529780564263323
Alert Eyes;0.8709677419354839;Tired Eyes;0.9485981308411215
Alert Eyes;0.9032258064516129;Tired Eyes;0.9505409582689336
Alert Eyes;0.9354838709677419;Tired Eyes;0.9476923076923077
Alert Eyes;0.8823529411764706;Tired Eyes;0.948377581120944
Alert Eyes;0.9117647058823529;Tired Eyes;0.9472913616398243
Alert Eyes;0.9411764705882353;Tired Eyes;0.9489795918367347
Alert Eyes;0.8918918918918919;Tired Eyes;0.9470672389127325
Alert Eyes;0.918918918918919;Tired Eyes;0.9431818181818182
Alert Eyes;0.9459459459459459;Tired Eyes;0.9442119944211994
Alert Eyes;0.9230769230769231;Tired Eyes;0.945872801082544
Alert Eyes;0.9487179487179487;Tired Eyes;0.9493201483312732
Alert Eyes;0.926829268292683;Tired Eyes;0.9470443349753694
Alert Eyes;0.9512195121951219;Tired Eyes;0.9467312348668281
Alert Eyes;0.9302325581395349;Tired Eyes;0.9452380952380952
