Eyes Closed Status,Eye Fit Ratio
Alert Eyes,0.8164047064144181
Alert Eyes,0.6620448040237911
Alert Eyes,0
Alert Eyes,48.75531393296727
Alert Eyes,0.5603026338047431
Alert Eyes,0.3711410889323432
Alert Eyes,11.620631270600633
Alert Eyes,14.148821085757964
Alert Eyes,0.6619178841121742
Alert Eyes,inf
Alert Eyes,38.69201323100916
Alert Eyes,0
Alert Eyes,1.076023793910472
Alert Eyes,inf
Alert Eyes,16.288753095441447
Alert Eyes,0.7084920746310281
Alert Eyes,0.36723851083935316
Alert Eyes,0.9844674844885719
Alert Eyes,1.2655478960524151
Alert Eyes,9.915763251852285
Alert Eyes,2.6644273638694416
Alert Eyes,3.655791380109026
Alert Eyes,1.4856342993387792
Alert Eyes,0.5382937078524501
Alert Eyes,0
Alert Eyes,2.0551336407281653
Alert Eyes,0.6884562367625122
Alert Eyes,3.4153860406945267
Alert Eyes,1.0143358231325932
Alert Eyes,1.0789996678810336
Alert Eyes,1.046108823808933
Alert Eyes,0
Alert Eyes,1.3145990641597833
Alert Eyes,0
Alert Eyes,1.0857800349316744
Alert Eyes,0
Alert Eyes,0.6497633770350109
Alert Eyes,0
Alert Eyes,12.945751810716116
Alert Eyes,0
Alert Eyes,1.821333285624932
Alert Eyes,1.5220300201590435
Alert Eyes,10.326040047269666
Alert Eyes,0.6320521145960704
Alert Eyes,0.9641619139174114
Alert Eyes,18.899742922341247
Alert Eyes,0.9701656534845414
Alert Eyes,1.0203763142417706
Alert Eyes,0.8871484000736718
Alert Eyes,1.5886367736243787
Alert Eyes,4.407135323956662
Alert Eyes,1.0943143627011014
Alert Eyes,1.0784951273658967
Alert Eyes,0.9055111559372427
Alert Eyes,0.8924114261820649
Alert Eyes,1.123393533608329
Alert Eyes,1.254827330483166
Tired Eyes,0.881285592934089
Alert Eyes,1.0792981450902668
Alert Eyes,1.4438672875890408
Alert Eyes,1.1869130031532273
Alert Eyes,1.0236878069656372
Alert Eyes,inf
Alert Eyes,6.601110363070587
Alert Eyes,7.598596195056796
Alert Eyes,0.8656958452556305
Alert Eyes,0.7370085274414943
Alert Eyes,1.0209021400746365
Alert Eyes,0
Alert Eyes,0
Alert Eyes,0.9896815105057885
Alert Eyes,2.6129934257193144
Alert Eyes,1.0986208054580473
Alert Eyes,1.1281068506351615
Alert Eyes,0.6075775989281538
Alert Eyes,0.86810098313376
Alert Eyes,0.9243329558864641
Alert Eyes,0.9535992757317215
Alert Eyes,1.0380166129503587
Alert Eyes,0.9562092638232252
Alert Eyes,9.695348740175024
Alert Eyes,0.9758169624129919
Alert Eyes,11.134868870777769
Alert Eyes,0.9157302421806391
Alert Eyes,1.0309077454763225
